01001;Flensburg, kreisfreie Stadt;90164;89934;91113;92550;92667
01002;Kiel, kreisfreie Stadt;246794;246601;246243;247717;248873
01003;Lübeck, kreisfreie Stadt;216530;215846;216277;218095;219044
01004;Neumünster, kreisfreie Stadt;80196;79905;79496;79502;80185
01051;Dithmarschen, Landkreis;133193;133251;133969;135252;135653
01053;Herzogtum Lauenburg, Landkreis;198019;199152;200819;203712;204836
01054;Nordfriesland, Landkreis;165951;167147;167560;169043;170007
01055;Ostholstein, Landkreis;200539;201487;202014;203606;204275
01056;Pinneberg, Landkreis;316103;317085;318326;322130;324018
01057;Plön, Landkreis;128686;129353;129687;131266;131370
01058;Rendsburg-Eckernförde, Landkreis;274098;274765;276053;278979;279864
01059;Schleswig-Flensburg, Landkreis;201156;202647;203799;206038;206385
01060;Segeberg, Landkreis;277175;278007;280400;284988;287175
01061;Steinburg, Landkreis;131013;130706;130843;132419;133072
01062;Stormarn, Landkreis;244156;244989;245406;247973;248267
02000;Hamburg, kreisfreie Stadt;1847253;1852478;1853935;1892122;1910160
03101;Braunschweig, kreisfreie Stadt;249406;248561;248823;251804;252066
03102;Salzgitter, kreisfreie Stadt;104291;103866;103694;104548;105039
03103;Wolfsburg, kreisfreie Stadt;124371;123840;123949;125961;127256
03151;Gifhorn, Landkreis;176523;177227;177919;180232;180679
03152;Göttingen, Landkreis (until 2016-10-31);-;-;-;-;-
03153;Goslar, Landkreis;136292;134688;134050;134672;134485
03154;Helmstedt, Landkreis;91297;91518;91379;92470;92123
03155;Northeim, Landkreis;132285;131772;131765;133258;132939
03156;Osterode am Harz, Landkreis (until 2016-10-31);-;-;-;-;-
03157;Peine, Landkreis;134801;135844;136960;138931;139170
03158;Wolfenbüttel, Landkreis;119622;119361;119224;120531;120755
03159;Göttingen, Landkreis;326041;323900;323661;328458;328952
03201;Hannover, kreisfreie Stadt (until 2001-10-31);-;-;-;-;-
03241;Region Hannover, Landkreis;1157115;1155330;1157541;1173891;1177676
03251;Diepholz, Landkreis;217089;218072;218839;222816;223832
03252;Hameln-Pyrmont, Landkreis;148549;148580;148963;150640;150377
03253;Hannover, Landkreis (until 2001-10-31);-;-;-;-;-
03254;Hildesheim, Landkreis;275817;275464;274773;278371;278571
03255;Holzminden, Landkreis;70458;70207;69862;70911;70706
03256;Nienburg (Weser), Landkreis;121390;121645;121773;123469;123888
03257;Schaumburg, Landkreis;157820;158406;158108;159960;160236
03351;Celle, Landkreis;179011;179386;179915;181994;182352
03352;Cuxhaven, Landkreis;198038;198826;199603;201413;201838
03353;Harburg, Landkreis;254431;256016;257548;261890;263616
03354;Lüchow-Dannenberg, Landkreis;48412;48503;48472;49178;49209
03355;Lüneburg, Landkreis;184139;184235;185129;187552;188859
03356;Osterholz, Landkreis;113928;114640;115054;116551;116487
03357;Rotenburg (Wümme), Landkreis;163782;164486;165001;167604;168454
03358;Heidekreis;140673;140885;142912;145394;143220
03359;Stade, Landkreis;204512;205357;206496;210306;211467
03360;Uelzen, Landkreis;92389;92566;92894;94362;95088
03361;Verden, Landkreis;137133;137574;138507;140913;141349
03401;Delmenhorst, kreisfreie Stadt;77559;77503;77522;78385;78979
03402;Emden, kreisfreie Stadt;49913;49874;49523;50535;50659
03403;Oldenburg (Oldenburg), kreisfreie Stadt;169077;169605;170389;172830;174629
03404;Osnabrück, kreisfreie Stadt;165251;164223;165034;167366;166960
03405;Wilhelmshaven, kreisfreie Stadt;76089;75189;75027;76089;76247
03451;Ammerland, Landkreis;124859;125643;126475;128253;129108
03452;Aurich, Landkreis;189694;190178;190425;192072;192608
